,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,start,theta
48,nanoxml,1_2,1,0.05,9.0,0.0,5864.0,8433.0,24.0,57976.0,351.0,263.0,232.0,952.0,165320.0,494.0,952.0,76858.0,0.0,5860.0,8541.0,123.0,161132.0,799.0,634.0,4236.0,1892.0,120674.0,2676.0,952.0,101195.0,46.0,0.0,5832.0,23925.0,119.0,114252.0,1253.0,1168.0,0.0,0.451996
49,nanoxml,1_2,5,0.05,9.0,0.0,5824.0,8429.0,24.0,58148.0,407.0,301.0,232.0,952.0,70880.0,0.0,0.0,0.0,0.0,5804.0,50095.0,123.0,161620.0,1257.0,1066.0,0.0,0.0,0.0,2692.0,952.0,91927.0,47.0,0.0,5832.0,4156.0,121.0,125060.0,885.0,0.0,0.0,0.393737
50,nanoxml,1_2,10,0.05,9.0,0.0,5828.0,4776.0,24.0,58304.0,389.0,252.0,232.0,952.0,71091.0,0.0,0.0,0.0,0.0,5884.0,3159.0,123.0,162144.0,1053.0,921.0,0.0,0.0,0.0,2692.0,952.0,82063.0,47.0,0.0,5844.0,3208.0,121.0,128084.0,762.0,0.0,0.0,0.320593
51,nanoxml,1_4,1,0.05,9.0,0.0,5836.0,2675.0,17.0,58476.0,341.0,248.0,226.0,952.0,80634.0,494.0,952.0,75313.0,0.0,5864.0,1442.0,129.0,162036.0,883.0,720.0,4236.0,1892.0,120016.0,2680.0,952.0,78823.0,45.0,0.0,5800.0,2144.0,125.0,149184.0,1053.0,901.0,0.0,0.359272
52,nanoxml,1_4,5,0.05,9.0,0.0,5824.0,4014.0,17.0,58464.0,356.0,264.0,226.0,952.0,79691.0,0.0,0.0,0.0,0.0,5788.0,3717.0,129.0,162388.0,1278.0,1156.0,0.0,0.0,0.0,2680.0,952.0,99567.0,45.0,0.0,5788.0,2206.0,125.0,99300.0,1265.0,0.0,0.0,0.310191
53,nanoxml,1_4,10,0.05,9.0,0.0,5864.0,5400.0,17.0,57756.0,394.0,273.0,226.0,952.0,78274.0,0.0,0.0,0.0,0.0,5800.0,3654.0,129.0,161600.0,1105.0,899.0,0.0,0.0,0.0,2698.0,952.0,83700.0,47.0,0.0,5892.0,3084.0,127.0,161780.0,688.0,576.0,0.0,0.26479
54,nanoxml,1_6,1,0.05,9.0,0.0,5872.0,1890.0,17.0,57928.0,361.0,257.0,232.0,952.0,59824.0,494.0,952.0,63941.0,0.0,5812.0,2536.0,78.0,97064.0,578.0,485.0,4230.0,1892.0,72423.0,870.0,952.0,99388.0,35.0,0.0,5844.0,7392.0,78.0,93324.0,637.0,536.0,0.0,0.188896
55,nanoxml,1_6,5,0.05,9.0,0.0,5828.0,1747.0,17.0,57840.0,339.0,267.0,232.0,952.0,61627.0,0.0,0.0,0.0,0.0,5836.0,1813.0,78.0,96988.0,840.0,722.0,0.0,0.0,0.0,870.0,952.0,67050.0,35.0,0.0,5872.0,1423.0,78.0,93784.0,538.0,0.0,0.0,0.177966
56,nanoxml,1_6,10,0.05,9.0,0.0,5824.0,1651.0,17.0,58304.0,391.0,274.0,232.0,952.0,60415.0,0.0,0.0,0.0,0.0,5844.0,1978.0,78.0,96548.0,639.0,524.0,0.0,0.0,0.0,2384.0,952.0,75359.0,39.0,0.0,5820.0,1689.0,78.0,94524.0,600.0,485.0,0.0,0.129607
57,nanoxml,1_7,1,0.05,6.0,0.0,5864.0,1571.0,31.0,58424.0,399.0,301.0,252.0,952.0,63348.0,494.0,952.0,64472.0,0.0,5856.0,1940.0,154.0,161632.0,701.0,584.0,4236.0,1892.0,73685.0,1922.0,952.0,67844.0,27.0,0.0,5824.0,1555.0,132.0,95324.0,542.0,434.0,0.0,0.512152
58,nanoxml,1_7,5,0.05,6.0,0.0,5812.0,3135.0,31.0,58040.0,345.0,275.0,252.0,952.0,61015.0,0.0,0.0,0.0,0.0,5860.0,1217.0,154.0,161804.0,732.0,623.0,0.0,0.0,0.0,2390.0,952.0,74923.0,36.0,0.0,5792.0,3540.0,147.0,94992.0,746.0,0.0,0.0,0.437449
59,nanoxml,1_7,10,0.05,6.0,0.0,5832.0,2316.0,31.0,58096.0,388.0,244.0,252.0,952.0,64481.0,0.0,0.0,0.0,0.0,5900.0,1736.0,154.0,160744.0,679.0,570.0,0.0,0.0,0.0,2390.0,952.0,67433.0,36.0,0.0,5824.0,2067.0,147.0,96400.0,640.0,0.0,0.0,0.410131
60,nanoxml,2_2,1,0.05,12.0,0.0,5860.0,1531.0,22.0,57756.0,374.0,275.0,294.0,952.0,63083.0,531.0,952.0,63126.0,0.0,5828.0,2848.0,61.0,96064.0,1073.0,962.0,5058.0,1892.0,80812.0,604.0,952.0,65894.0,19.0,0.0,5792.0,2874.0,33.0,60916.0,413.0,333.0,0.0,0.414396
61,nanoxml,2_2,5,0.05,12.0,0.0,6080.0,1451.0,22.0,58016.0,365.0,272.0,294.0,952.0,63081.0,0.0,0.0,0.0,0.0,5852.0,2857.0,61.0,96248.0,721.0,600.0,0.0,0.0,0.0,604.0,952.0,64252.0,22.0,0.0,5776.0,4982.0,38.0,59324.0,433.0,345.0,0.0,0.293469
62,nanoxml,2_2,10,0.05,12.0,0.0,5816.0,3130.0,22.0,58096.0,544.0,412.0,294.0,952.0,82786.0,0.0,0.0,0.0,0.0,5836.0,2277.0,61.0,97372.0,639.0,526.0,0.0,0.0,0.0,604.0,952.0,67078.0,22.0,0.0,5852.0,1622.0,38.0,60216.0,462.0,0.0,0.0,0.261384
